ID,Loc,RAJ2000,DEJ2000,SNR,HRV,e_HRV,Teff,e_Teff,logg,e_logg,Vsini,[M/H],e_[M/H]
2M17142409+2930052,2387,258.600404,29.501446,86.559,-60.384499,0.041402,3487.433,73.636,4.9222,0.1238,7.02377,-0.285639,0.020036
2M17144023+2655418,2382,258.667665,26.928282,474.01,-47.5051,0.007491,3739.798,61.673,4.801,0.1148,5.98012,-0.076621,0.01011
2M17144370-2449231,4359,258.68209,-24.823093,130.31,10.7688,0.109772,3509.402,64.741,4.633,0.1116,71.28531,0.070636,0.012799
2M17144734+2805393,2382,258.697279,28.094259,150.15,-43.314301,0.019268,3426.863,65.421,4.7051,0.1435,8.00645,-0.686349,0.02249
2M17150083+2246111,4523,258.753463,22.769751,158.53,-9.83808,0.010079,3730.082,63.735,5.0165,0.1279,4.94299,-0.420129,0.013207
2M17150540+2903052,2387,258.772503,29.051472,102.02,-183.949005,0.028284,3554.468,75.963,4.686,0.138,6.87369,-0.656049,0.024404
2M17152803+3052222,2387,258.866817,30.872856,315.11,-11.4583,0.011746,3599.977,61.158,4.8208,0.1291,6.37148,-0.394279,0.013931
2M17154124+6143490,2241,258.921838,61.730293,103.22,-31.643,0.031928,3528.908,75.587,4.9406,0.1295,6.52244,-0.448809,0.022006
2M17160706+5606129,2256,259.029432,56.103596,101.78,-58.723701,0.037452,3769.933,79.503,5.0659,0.13,5.34183,-0.554659,0.01973
2M17161252+3012414,2387,259.052203,30.211527,102.38,-7.82484,0.031659,3594.117,76.159,4.866,0.1193,6.01077,-0.217419,0.018071
2M17162215+5706118,5188,259.092325,57.103287,31.776,-28.499201,0.082875,3669.02,87.117,4.7827,0.1105,5.96472,-0.046731,0.018797
2M17165079+5949141,2255,259.211653,59.820602,170.76,-59.266602,0.021012,3910.811,72.278,4.719,0.1098,3.75708,-0.046518,0.010917
2M17165079+5949141,2241,259.211653,59.820602,241.33,-59.452702,0.013299,3913.17,64.654,4.7231,0.1107,3.10535,-0.036213,0.0090208
2M17165510+6027051,2241,259.22962,60.451431,118.98,-36.0317,0.032187,3629.495,71.96,4.822,0.1155,9.14408,-0.109319,0.01487
2M17170510+2719395,2005,259.271261,27.327662,120.12,-28.5504,0.02109,3685.081,78.752,4.7964,0.1201,5.36031,-0.277399,0.017969
2M17170976+5924106,2255,259.290674,59.402962,168.57,-5.61451,0.054739,3498.522,62.936,4.8678,0.1349,16.9083,-0.505279,0.017447
2M17171230+2713488,2005,259.30127,27.230234,68.535,32.338001,0.0611,3997.35,88.01,4.6415,0.1078,2.47303,-0.080181,0.014212
2M17171924+5912598,2255,259.330171,59.216614,66.474,-19.6847,0.052879,3858.264,90.035,4.6942,0.116,1.74884,-0.269999,0.018749
2M17172730-2437155,5128,259.363769,-24.620993,53.973,-26.0511,0.059321,3662.238,82.795,4.8639,0.1079,9.69483,0.044086,0.016502
2M17173369+2209028,4523,259.390395,22.150778,174.54,31.778299,0.013332,3673.21,61.421,4.8844,0.1194,4.13276,-0.175169,0.011397
2M17173733+5305314,2397,259.405544,53.09206,65.269,-19.496099,0.049422,3898.922,89.692,4.8513,0.1105,1.75267,-0.130999,0.016519
2M17174656+5941240,2241,259.444015,59.690006,198.18,-2.86018,0.03981,3878.492,63.654,4.7767,0.1095,30.73265,0.014748,0.0088137
2M17174670-2351358,5128,259.444611,-23.859961,40.221,-48.046101,0.085928,3923.802,98.058,4.6926,0.1291,3.78556,-0.649829,0.025356
2M17175147+5547503,2256,259.464484,55.79731,209.82,-24.8939,0.018232,3555.91,58.459,4.9069,0.118,7.04336,-0.086267,0.011297
2M17175751+2644382,2382,259.489641,26.743956,139.01,6.74541,0.027827,3922.192,74.789,4.8714,0.1212,1.52328,-0.366549,0.013792
2M17181613+5421083,2397,259.567223,54.352314,114.05,-26.6462,0.030323,3971.12,77.393,4.6705,0.1048,3.9345,0.058528,0.010865
2M17185512+2956165,2387,259.72969,29.937931,97.152,-79.9105,0.026744,3691.752,84.222,4.7616,0.1305,4.74581,-0.559779,0.023555
2M17190292+2340254,4523,259.762173,23.673731,267.19,27.823601,0.012438,3892.801,64.757,4.7858,0.1136,3.66986,-0.109439,0.0096235
2M17190390+2805053,2382,259.766281,28.084829,81.576,-51.629799,0.049627,3392.984,71.793,4.7952,0.1211,7.03461,-0.179229,0.020103
2M17190577+2253036,4523,259.774083,22.88435,175.89,-0.315039,0.01012,3955.74,64.883,4.769,0.1071,1.9002,0.051053,0.0082903
2M17192718+6056342,2241,259.863263,60.942837,112.32,-3.0378,0.028975,3486.02,69.838,5.0667,0.128,7.7931,-0.371889,0.019374
2M17193858+5703558,2256,259.910788,57.065521,136.64,-44.542099,0.029952,3701.217,72.746,4.9244,0.136,5.99694,-0.643179,0.019282
2M17193858+5703558,2034,259.910788,57.065521,102.28,-44.657001,0.030569,3707.71,79.991,4.9331,0.1335,4.6204,-0.619609,0.022064
